,Spiro_Data
2020,-5.5
2021,-5.95
2022,-6.65
2023,-7.3
2024,-8.1
2025,-8.75
2026,-9.35
2027,-9.95
2028,-10.45
2029,-10.95
2030,-11.3
2031,-11.65
2032,-12.0
2033,-12.5
2034,-13.15
2035,-13.9
2036,-14.5
2037,-15.2
2038,-16.1
2039,-17.05
2040,-17.9
2041,-18.75
2042,-19.65
2043,-20.6
2044,-21.25
2045,-21.85
2046,-22.45
2047,-23.4
2048,-24.3
2049,-25.15
2050,-25.6
2051,-26.4
2052,-27.0
2053,-27.15
2054,-27.4
2055,-27.45
2056,-28.35
2057,-29.2
2058,-29.75
2059,-29.95
2060,-29.65
2061,-29.1
2062,-29.35
2063,-29.35
2064,-30.7
2065,-31.85
2066,-32.2
2067,-32.2
2068,-32.35
2069,-32.0
2070,-32.8
2071,-33.35
2072,-33.55
2073,-33.9
2074,-33.7
2075,-33.85
2076,-34.45
2077,-34.65
2078,-34.4
2079,-34.55
2080,-34.8
2081,-35.05
2082,-35.7
2083,-35.8
2084,-35.65
2085,-35.75
2086,-35.9
2087,-35.75
2088,-37.4
2089,-37.1
2090,-37.4
2091,-38.1
2092,-37.2
2093,-36.15
2094,-36.7
2095,-36.3
2096,-37.45
2097,-37.2
2098,-36.8
2099,-36.95
2100,-37.45
2101,-37.65
2102,-38.15
2103,-37.85
2104,-36.4
2105,-35.95
2106,-36.45
2107,-37.4
2108,-37.75
2109,-37.65
2110,-37.15
2111,-37.45
2112,-37.45
2113,-36.55
2114,-36.35
2115,-36.55
2116,-36.65
2117,-37.05
2118,-38.6
2119,-39.0
2120,-39.5
2121,-38.5
2122,-38.25
2123,-37.85
2124,-37.55
2125,-38.2
2126,-39.05
2127,-40.35
2128,-40.45
2129,-39.75
2130,-39.15
2131,-38.0
2132,-38.0
2133,-38.6
2134,-39.3
2135,-39.0
2136,-39.35
2137,-39.15
2138,-38.6
2139,-38.6
2140,-38.85
2141,-38.6
2142,-38.5
2143,-39.8
2144,-40.1
2145,-39.95
2146,-39.8
2147,-38.9
2148,-38.45
2149,-38.4
2150,-38.15
2151,-38.35
2152,-38.9
2153,-39.8
2154,-40.1
2155,-39.35
2156,-38.55
2157,-38.95
2158,-40.5
2159,-40.95
2160,-40.95
2161,-40.3
2162,-39.8
2163,-39.1
2164,-39.9
2165,-41.1
2166,-41.7
2167,-41.5
2168,-41.6
2169,-43.8
2170,-44.6
2171,-44.35
2172,-44.1
2173,-45.1
2174,-45.95
2175,-45.45
2176,-45.4
2177,-46.55
2178,-46.85
2179,-47.7
2180,-47.35
2181,-47.35
2182,-46.4
2183,-45.9
2184,-46.25
2185,-46.95
2186,-47.45
2187,-45.8
2188,-45.3
2189,-44.05
2190,-43.65
2191,-45.3
2192,-47.2
2193,-45.85
2194,-43.8
2195,-46.25
2196,-45.95
2197,-44.95
2198,-44.35
2199,-44.45
2200,-43.9
2201,-45.0
2202,-45.2
2203,-43.2
2204,-41.5
2205,-42.15
2206,-44.4
2207,-45.4
2208,-44.05
2209,-45.05
2210,-45.45
2211,-45.2
2212,-46.15
2213,-46.5
2214,-47.4
2215,-46.65
2216,-45.75
2217,-46.6
2218,-48.15
2219,-48.6
2220,-49.5
2221,-50.2
2222,-49.95
2223,-50.45
2224,-52.4
2225,-52.65
2226,-52.7
2227,-53.35
2228,-53.0
2229,-53.1
2230,-50.7
2231,-52.75
2232,-53.45
2233,-52.25
2234,-53.1
2235,-53.85
2236,-53.5
2237,-53.45
2238,-52.95
2239,-53.45
2240,-53.9
2241,-54.6
2242,-53.9
2243,-54.05
2244,-54.6
2245,-54.4
2246,-54.3
2247,-54.8
2248,-54.2
2249,-54.35
2250,-54.4
2251,-54.2
2252,-53.4
2253,-52.95
2254,-52.7
2255,-53.4
2256,-52.7
2257,-52.6
2258,-51.9
2259,-52.95
2260,-54.25
2261,-54.9
2262,-54.25
2263,-53.65
2264,-53.05
2265,-52.65
2266,-53.8
2267,-53.85
2268,-53.95
2269,-53.9
2270,-52.95
2271,-53.05
2272,-51.1
2273,-49.95
2274,-49.5
2275,-49.75
2276,-49.1
2277,-49.6
2278,-49.9
2279,-50.5
2280,-50.1
2281,-49.85
2282,-49.2
2283,-49.45
2284,-48.05
2285,-46.6
2286,-45.25
2287,-45.65
2288,-45.1
2289,-45.55
2290,-45.7
2291,-48.3
2292,-48.0
2293,-47.45
2294,-47.95
2295,-48.05
2296,-45.95
2297,-43.9
2298,-44.2
2299,-45.9
2300,-47.25
2301,-48.9
2302,-48.1
2303,-47.6
2304,-46.35
2305,-45.9
2306,-45.2
2307,-45.1
2308,-45.0
2309,-45.75
2310,-46.9
2311,-47.0
2312,-45.6
2313,-45.6
2314,-46.95
2315,-47.55
2316,-46.55
2317,-44.2
2318,-42.75
2319,-44.4
2320,-43.7
2321,-45.4
2322,-44.65
2323,-46.25
2324,-45.95
2325,-46.7
2326,-49.4
2327,-48.25
2328,-47.05
2329,-47.65
2330,-47.85
2331,-47.8
2332,-46.0
2333,-45.5
2334,-45.9
2335,-44.9
2336,-43.15
2337,-41.8
2338,-42.1
2339,-42.5
2340,-41.85
2341,-39.6
2342,-38.45
2343,-38.9
2344,-38.35
2345,-37.55
2346,-36.9
2347,-36.35
2348,-35.45
2349,-34.05
2350,-33.2
2351,-32.05
2352,-30.6
2353,-29.75
2354,-28.3
2355,-27.1
2356,-25.95
2357,-24.4
2358,-23.3
2359,-22.25
2360,-22.15
2361,-20.7
2362,-18.95
2363,-18.3
2364,-17.55
2365,-16.35
2366,-14.95
2367,-13.9
2368,-13.15
2369,-12.0
2370,-10.45
2371,-8.85
2372,-7.3
2373,-6.0
2374,-4.6
2375,-3.2
2376,-1.85
2377,-0.8
2378,0.4
2379,1.55
2380,2.5
2381,3.6
2382,4.7
2383,5.9
2384,7.3
2385,8.8
2386,10.2
2387,10.7
2388,11.45
2389,14.8
2390,19.75
2391,28.85
2392,34.15
2393,31.25
2394,31.05
2395,32.0
2396,32.8
2397,37.1
2398,37.1
2399,40.2
2400,49.15
2401,46.35
2402,46.2
2403,50.9
2404,57.55
2405,59.4
2406,61.0
2407,67.5
2408,71.7
2409,85.55
2410,81.4
2411,84.95
2412,89.75
2413,98.65
2414,98.75
2415,99.85
2416,113.55
2417,117.95
2418,114.5
2419,120.05
2420,124.35
2421,122.15
2422,128.75
2423,136.0
2424,123.55
2425,112.9
2426,122.5
2427,147.8
2428,148.4
2429,152.3
2430,143.8
2431,145.2
2432,154.1
2433,144.85
2434,135.35
2435,139.25
2436,145.95
2437,152.4
2438,146.25
2439,129.85
2440,139.1
2441,146.95
2442,136.25
2443,134.55
2444,138.45
2445,133.05
2446,127.95
2447,128.4
2448,123.0
2449,134.45
2450,143.3
2451,133.15
2452,127.45
2453,141.2
2454,143.6
2455,130.65
2456,147.35
2457,142.7
2458,144.3
2459,139.0
2460,136.5
2461,138.75
2462,145.1
2463,131.7
2464,117.85
2465,122.3
2466,118.75
2467,121.55
2468,124.5
2469,131.6
2470,135.1
2471,129.4
2472,127.5
2473,117.3
2474,123.4
2475,128.15
2476,118.6
2477,120.8
2478,126.35
2479,131.25
2480,133.7
2481,131.75
2482,131.35
2483,131.35
2484,131.65
2485,143.55
2486,136.2
2487,137.3
2488,122.7
2489,129.95
2490,127.95
2491,129.55
2492,118.95
2493,118.25
2494,116.1
2495,125.9
2496,124.55
2497,126.05
2498,131.6
2499,124.95
2500,129.15
2501,125.1
2502,118.7
2503,117.15
2504,107.05
2505,114.0
2506,119.5
2507,121.1
2508,115.7
2509,115.45
2510,117.25
2511,114.3
2512,111.7
2513,110.3
2514,112.65
2515,121.15
2516,115.9
2517,108.85
2518,114.5
2519,115.85
2520,109.0
2521,116.65
2522,113.75
2523,116.55
2524,110.55
2525,114.9
2526,116.55
2527,120.95
2528,116.1
2529,95.95
2530,106.05
2531,108.05
2532,108.55
2533,105.65
2534,82.0
2535,91.75
2536,104.15
2537,117.45
2538,114.0
2539,117.95
2540,117.35
2541,111.25
2542,114.65
2543,115.85
2544,112.2
2545,119.6
2546,108.0
2547,108.0
2548,107.85
2549,116.6
2550,106.9
2551,112.5
2552,107.05
2553,102.55
2554,110.55
2555,102.25
2556,102.85
2557,105.8
2558,103.05
2559,105.5
2560,107.2
2561,101.7
2562,103.25
2563,109.55
2564,97.05
2565,109.55
2566,105.6
2567,101.35
2568,108.55
2569,117.05
2570,113.8
2571,106.55
2572,108.65
2573,120.15
2574,119.55
2575,111.55
2576,125.05
2577,130.0
2578,130.5
2579,121.3
2580,127.2
2581,125.5
2582,121.85
2583,111.5
2584,128.2
2585,118.55
2586,125.1
2587,113.25
2588,110.5
2589,112.35
2590,123.2
2591,115.35
2592,108.35
2593,123.35
2594,120.4
2595,114.15
2596,105.85
2597,112.15
2598,118.7
2599,115.2
2600,113.9
2601,106.3
2602,105.15
2603,112.7
2604,116.7
2605,112.25
2606,103.35
2607,110.2
2608,118.65
2609,111.35
2610,116.5
2611,108.65
2612,117.7
2613,124.9
2614,114.85
2615,121.35
2616,109.8
2617,113.3
2618,124.6
2619,107.0
2620,112.35
2621,113.25
2622,119.25
2623,121.8
2624,110.8
2625,108.5
2626,119.7
2627,114.0
2628,110.5
2629,113.6
2630,112.0
2631,108.05
2632,108.3
2633,118.9
2634,115.85
2635,106.4
2636,105.9
2637,105.8
2638,99.1
2639,102.15
2640,98.25
2641,93.25
2642,101.45
2643,98.4
2644,105.5
2645,99.95
2646,93.65
2647,95.7
2648,92.8
2649,87.95
2650,90.6
2651,88.55
2652,93.2
2653,83.55
2654,87.7
2655,87.15
2656,86.65
2657,80.0
2658,77.5
2659,75.65
2660,79.05
2661,78.3
2662,80.6
2663,84.3
2664,77.6
2665,71.25
2666,73.8
2667,72.15
2668,71.15
2669,68.2
2670,72.3
2671,79.35
2672,76.5
2673,69.55
2674,71.2
2675,67.95
2676,64.5
2677,67.25
2678,67.65
2679,66.1
2680,65.8
2681,67.6
2682,70.35
2683,68.6
2684,70.0
2685,65.6
2686,68.1
2687,63.85
2688,60.9
2689,62.15
2690,60.6
2691,60.2
2692,56.5
2693,58.25
2694,56.3
2695,52.35
2696,56.9
2697,56.3
2698,47.8
2699,50.6
2700,47.5
2701,48.45
2702,49.85
2703,46.65
2704,41.9
2705,38.75
2706,42.4
2707,40.85
2708,39.2
2709,36.2
2710,38.75
2711,39.55
2712,37.5
2713,33.9
2714,30.95
2715,30.75
2716,30.6
2717,35.3
2718,32.8
2719,28.95
2720,27.7
2721,27.3
2722,29.0
2723,31.95
2724,32.25
2725,28.0
2726,25.65
2727,25.25
2728,24.55
2729,24.3
2730,24.7
2731,24.3
2732,21.95
2733,20.55
2734,19.4
2735,19.8
2736,19.65
2737,19.85
2738,18.85
2739,17.35
2740,17.2
2741,18.4
2742,17.45
2743,16.4
2744,14.85
2745,13.6
2746,14.25
2747,15.65
2748,13.7
2749,12.05
2750,10.65
2751,11.05
2752,10.2
2753,8.95
2754,10.2
2755,9.35
2756,7.85
2757,6.9
2758,4.95
2759,3.75
2760,3.6
2761,2.2
2762,1.0
2763,0.25
2764,-0.4
2765,-0.85
2766,-1.3
2767,-1.8
2768,-2.35
2769,-2.95
2770,-3.65
2771,-4.55
2772,-5.4
2773,-6.25
2774,-7.35
2775,-8.35
2776,-9.3
2777,-10.1
2778,-10.9
2779,-11.55
2780,-12.15
2781,-12.7
2782,-13.3
2783,-13.85
2784,-14.45
2785,-15.0
2786,-15.7
2787,-16.45
2788,-17.15
2789,-18.0
2790,-18.8
2791,-19.7
2792,-20.65
2793,-21.8
2794,-23.0
2795,-23.65
2796,-24.65
2797,-25.65
2798,-26.9
2799,-28.05
2800,-28.85
2801,-29.3
2802,-29.85
2803,-31.05
2804,-32.7
2805,-34.4
2806,-35.8
2807,-36.65
2808,-38.05
2809,-38.15
2810,-39.3
2811,-39.55
2812,-40.7
2813,-41.45
2814,-41.1
2815,-41.9
2816,-43.5
2817,-44.75
2818,-46.25
2819,-46.6
2820,-47.6
2821,-46.2
2822,-46.95
2823,-48.55
2824,-51.25
2825,-51.95
2826,-50.95
2827,-51.9
2828,-52.15
2829,-52.05
2830,-54.0
2831,-54.45
2832,-53.0
2833,-52.95
2834,-54.1
2835,-54.3
2836,-53.8
2837,-54.65
2838,-55.05
2839,-54.9
2840,-55.5
2841,-55.7
2842,-55.5
2843,-53.4
2844,-54.2
2845,-54.65
2846,-54.3
2847,-54.55
2848,-56.1
2849,-56.7
2850,-55.6
2851,-55.85
2852,-57.45
2853,-56.25
2854,-56.25
2855,-57.25
2856,-58.05
2857,-58.85
2858,-58.3
2859,-57.15
2860,-57.45
2861,-58.4
2862,-58.05
2863,-58.4
2864,-58.3
2865,-57.65
2866,-59.45
2867,-62.0
2868,-60.9
2869,-62.25
2870,-61.8
2871,-63.35
2872,-63.95
2873,-63.8
2874,-64.5
2875,-66.6
2876,-65.2
2877,-61.0
2878,-63.25
