,Spiro_Data
516,-37.2
517,-37.95
518,-38.6
519,-38.3
520,-37.75
521,-36.9
522,-36.85
523,-36.3
524,-38.05
525,-39.55
526,-40.8
527,-41.4
528,-41.5
529,-42.25
530,-43.25
531,-42.5
532,-43.15
533,-43.55
534,-42.7
535,-43.05
536,-42.9
537,-41.45
538,-41.65
539,-42.7
540,-43.5
541,-43.95
542,-45.0
543,-43.75
544,-43.1
545,-45.75
546,-46.3
547,-46.35
548,-47.05
549,-48.6
550,-48.8
551,-47.4
552,-46.9
553,-46.95
554,-47.1
555,-46.35
556,-45.2
557,-46.45
558,-47.55
559,-47.35
560,-45.75
561,-45.7
562,-45.2
563,-43.9
564,-45.75
565,-45.05
566,-43.95
567,-43.1
568,-42.1
569,-42.45
570,-42.6
571,-42.7
572,-43.0
573,-42.7
574,-42.1
575,-42.3
576,-42.9
577,-43.9
578,-44.4
579,-43.6
580,-42.45
581,-42.55
582,-41.55
583,-42.85
584,-44.5
585,-45.15
586,-44.8
587,-44.45
588,-44.4
589,-44.95
590,-45.35
591,-45.1
592,-45.7
593,-45.35
594,-44.95
595,-44.95
596,-44.7
597,-43.9
598,-44.15
599,-44.0
600,-44.55
601,-44.55
602,-45.05
603,-44.95
604,-45.1
605,-45.7
606,-45.85
607,-46.05
608,-45.75
609,-46.5
610,-47.5
611,-47.25
612,-46.65
613,-47.35
614,-48.35
615,-47.85
616,-48.5
617,-49.3
618,-48.65
619,-48.75
620,-49.15
621,-50.25
622,-50.85
623,-51.1
624,-51.35
625,-50.05
626,-49.85
627,-51.3
628,-51.65
629,-51.8
630,-51.7
631,-50.3
632,-51.25
633,-52.8
634,-52.95
635,-52.45
636,-51.85
637,-52.1
638,-51.15
639,-50.65
640,-51.2
641,-50.55
642,-49.85
643,-49.75
644,-49.05
645,-48.0
646,-50.35
647,-51.55
648,-51.45
649,-51.25
650,-53.85
651,-51.25
652,-49.9
653,-50.2
654,-51.05
655,-49.7
656,-49.9
657,-50.6
658,-50.75
659,-51.2
660,-49.85
661,-50.1
662,-51.1
663,-51.15
664,-51.15
665,-52.1
666,-50.85
667,-50.2
668,-51.25
669,-50.3
670,-51.75
671,-52.15
672,-52.75
673,-51.95
674,-49.95
675,-52.65
676,-52.4
677,-50.5
678,-49.75
679,-49.6
680,-50.45
681,-51.5
682,-50.7
683,-48.4
684,-48.4
685,-49.1
686,-49.55
687,-47.2
688,-47.3
689,-49.2
690,-48.4
691,-47.3
692,-47.4
693,-48.65
694,-47.9
695,-46.95
696,-46.45
697,-44.65
698,-45.05
699,-46.25
700,-47.25
701,-46.75
702,-45.3
703,-45.4
704,-45.05
705,-44.05
706,-43.85
707,-44.15
708,-45.05
709,-45.95
710,-46.25
711,-46.85
712,-45.55
713,-44.55
714,-44.65
715,-45.15
716,-45.45
717,-44.25
718,-43.3
719,-43.65
720,-44.45
721,-44.25
722,-45.85
723,-45.65
724,-44.75
725,-44.1
726,-45.5
727,-45.85
728,-43.6
729,-44.7
730,-46.85
731,-47.3
732,-46.85
733,-45.05
734,-46.35
735,-48.5
736,-48.15
737,-47.5
738,-46.1
739,-46.5
740,-46.45
741,-46.55
742,-46.25
743,-46.45
744,-46.05
745,-45.15
746,-43.35
747,-44.45
748,-45.2
749,-43.95
750,-44.9
751,-44.6
752,-43.45
753,-43.9
754,-46.1
755,-45.65
756,-47.4
757,-47.35
758,-44.9
759,-44.45
760,-45.2
761,-46.75
762,-47.2
763,-47.0
764,-45.05
765,-43.25
766,-43.05
767,-43.45
768,-43.7
769,-44.75
770,-44.4
771,-43.2
772,-43.4
773,-43.85
774,-44.4
775,-44.2
776,-43.65
777,-43.55
778,-43.75
779,-43.1
780,-43.75
781,-44.75
782,-45.3
783,-45.9
784,-44.85
785,-45.0
786,-45.75
787,-47.35
788,-48.3
789,-47.2
790,-47.25
791,-47.5
792,-46.9
793,-47.45
794,-46.65
795,-47.95
796,-50.1
797,-49.35
798,-49.1
799,-47.8
800,-47.75
801,-46.95
802,-46.85
803,-46.85
804,-45.55
805,-45.2
806,-44.0
807,-41.75
808,-40.25
809,-39.7
810,-39.15
811,-38.5
812,-36.8
813,-36.0
814,-34.3
815,-32.95
816,-31.15
817,-29.85
818,-28.7
819,-26.75
820,-25.05
821,-23.3
822,-21.35
823,-18.95
824,-16.75
825,-15.3
826,-13.55
827,-11.45
828,-9.45
829,-7.65
830,-6.2
831,-4.75
832,-3.45
833,-2.25
834,-1.3
835,-0.4
836,0.6
837,1.65
838,2.6
839,3.85
840,5.1
841,6.25
842,7.55
843,9.05
844,10.55
845,12.35
846,12.85
847,17.45
848,23.15
849,26.25
850,34.15
851,38.5
852,44.9
853,47.0
854,50.7
855,51.9
856,55.95
857,58.05
858,59.05
859,58.7
860,66.95
861,73.1
862,79.5
863,78.55
864,78.9
865,81.0
866,82.55
867,89.4
868,93.45
869,90.55
870,89.25
871,76.1
872,63.15
873,70.65
874,79.35
875,84.25
876,78.6
877,90.0
878,96.4
879,88.85
880,96.15
881,86.75
882,97.55
883,81.6
884,92.9
885,92.3
886,90.8
887,84.25
888,105.95
889,107.7
890,93.65
891,87.55
892,105.4
893,103.15
894,95.0
895,87.3
896,91.25
897,87.35
898,89.4
899,100.8
900,112.2
901,109.55
902,88.4
903,98.2
904,95.6
905,112.3
906,93.2
907,88.0
908,119.9
909,105.75
910,130.2
911,124.2
912,125.0
913,126.75
914,122.1
915,121.1
916,123.95
917,132.7
918,132.7
919,118.0
920,124.4
921,129.25
922,126.25
923,118.25
924,126.25
925,128.7
