,Data
514,92.55
515,84.3
516,77.2
517,93.2
518,91.8
519,91.15
520,87.0
521,84.0
522,83.65
523,91.15
524,96.5
525,91.2
526,96.75
527,89.1
528,82.55
529,87.75
530,91.25
531,86.25
532,79.1
533,77.85
534,69.8
535,63.55
536,68.95
537,69.5
538,84.7
539,82.65
540,67.5
541,67.3
542,69.4
543,63.0
544,70.4
545,77.1
546,86.35
547,88.85
548,86.9
549,88.0
550,91.15
551,81.5
552,79.95
553,75.65
554,74.6
555,74.75
556,80.6
557,73.15
558,87.0
559,83.5
560,80.6
561,82.9
562,84.6
563,80.05
564,85.45
565,70.3
566,65.95
567,79.75
568,77.45
569,64.95
570,72.05
571,88.65
572,90.0
573,102.1
574,102.6
575,97.25
576,101.0
577,99.75
578,106.2
579,107.05
580,108.1
581,107.95
582,100.2
583,99.2
584,94.8
585,112.6
586,102.2
587,109.35
588,121.15
589,113.5
590,117.35
591,112.05
592,115.25
593,118.1
594,111.85
595,122.3
596,107.35
597,113.25
598,108.85
599,108.3
600,100.7
601,114.1
602,99.15
603,110.45
604,110.0
605,83.15
606,66.95
607,75.7
608,72.6
609,76.85
610,79.35
611,83.4
612,87.6
613,115.4
614,118.05
615,121.5
616,92.7
617,75.6
618,80.2
619,87.35
620,86.35
621,106.3
622,119.35
623,135.55
624,136.3
625,130.45
626,125.05
627,99.95
628,79.75
629,79.2
630,84.75
631,107.6
632,111.85
633,86.3
634,85.4
635,129.5
636,119.3
637,116.75
638,104.05
639,128.0
640,127.3
641,125.35
642,131.2
643,127.9
644,123.75
645,88.8
646,86.35
647,93.45
648,101.25
649,118.05
650,130.95
651,108.2
652,95.7
653,90.35
654,82.6
655,86.35
656,103.65
657,112.85
658,98.3
659,85.8
660,87.3
661,93.45
662,86.8
663,87.25
664,82.15
665,86.95
666,90.25
667,92.75
668,116.8
669,124.5
670,108.3
671,123.35
672,100.65
673,91.9
674,88.75
675,99.1
676,122.5
677,102.15
678,76.8
679,75.8
680,83.45
681,94.6
682,99.2
683,101.95
684,92.5
685,88.35
686,81.45
687,85.95
688,112.55
689,111.5
690,112.1
691,118.65
692,126.6
693,131.1
694,115.65
695,110.4
696,95.0
697,78.85
698,88.85
699,83.4
700,95.5
701,88.1
702,86.55
703,84.4
704,98.35
705,113.4
706,113.6
707,110.55
708,104.65
709,99.75
710,114.45
711,94.2
712,91.85
713,75.7
714,81.25
715,86.4
716,103.25
717,108.0
718,111.65
719,100.4
720,110.05
721,113.45
722,118.4
723,106.55
724,110.2
725,110.9
726,117.15
727,120.85
728,119.6
729,124.15
730,116.8
731,113.2
732,93.85
733,81.4
734,105.05
735,110.3
736,97.8
737,104.6
738,95.5
739,90.95
740,96.75
741,91.05
742,88.8
743,102.2
744,106.9
745,115.55
746,115.65
747,113.8
748,105.55
749,116.0
750,113.9
751,110.05
752,124.0
753,118.25
754,104.2
755,97.6
756,106.45
757,102.75
758,110.6
759,107.9
760,107.4
761,110.2
762,106.35
763,118.9
764,99.05
765,98.3
766,108.3
767,108.95
768,116.55
769,111.4
770,114.2
771,109.9
772,104.15
773,99.4
774,113.7
775,100.55
776,112.45
777,112.25
778,110.7
779,110.55
780,113.55
781,116.85
782,98.2
783,92.65
784,101.65
785,114.4
786,116.8
787,109.4
788,111.25
789,105.4
790,113.3
791,108.65
792,112.9
793,110.9
794,116.8
795,122.3
796,110.65
797,111.3
798,111.1
799,118.45
800,110.9
801,106.0
802,114.75
803,104.7
804,104.75
805,97.0
806,110.7
807,107.6
808,103.55
809,107.55
810,102.85
811,98.05
812,103.5
813,99.9
814,97.3
815,96.7
816,94.9
817,94.6
818,90.45
819,96.6
820,90.5
821,92.95
822,82.6
823,86.0
824,85.9
825,89.05
826,80.15
827,81.6
828,76.75
829,79.0
830,81.45
831,69.7
832,70.45
833,71.9
834,77.2
835,78.2
836,69.2
837,69.45
838,68.9
839,66.75
840,57.25
841,62.95
842,64.55
843,61.15
844,54.9
845,50.1
846,48.5
847,50.75
848,44.25
849,44.1
850,33.05
851,34.15
852,34.2
853,35.5
854,37.15
855,33.05
856,28.65
857,27.35
858,24.9
859,24.25
860,20.55
861,16.2
862,14.55
863,11.65
864,10.4
865,11.3
866,7.65
867,6.2
868,5.45
869,3.7
870,2.0
871,1.2
872,-0.05
873,-1.1
874,-2.15
875,-2.95
876,-3.15
877,-3.65
878,-4.3
879,-4.95
880,-5.7
881,-6.55
882,-7.45
883,-8.15
884,-8.85
885,-9.2
886,-9.8
887,-10.5
888,-11.45
889,-12.2
890,-13.05
891,-14.0
892,-14.9
893,-15.8
894,-16.7
895,-17.45
896,-18.15
897,-18.95
898,-19.65
899,-20.3
900,-20.8
901,-21.25
902,-22.0
903,-22.85
904,-23.4
905,-24.1
906,-25.6
907,-25.8
908,-26.75
909,-26.95
910,-27.35
911,-27.0
912,-26.85
913,-27.5
914,-28.0
915,-29.1
916,-29.85
917,-30.35
918,-30.9
919,-31.45
920,-32.85
921,-35.0
922,-37.3
923,-38.1
924,-39.2
925,-40.25
926,-40.25
927,-39.45
928,-39.45
929,-39.9
930,-39.85
931,-38.7
932,-40.1
933,-39.5
934,-39.8
935,-39.15
936,-39.3
937,-38.55
938,-38.8
939,-38.7
940,-38.1
941,-37.45
942,-37.8
943,-37.6
944,-37.4
945,-37.25
946,-36.75
947,-36.4
948,-35.95
949,-35.65
950,-36.0
951,-36.6
952,-36.75
953,-36.1
954,-35.95
955,-37.1
956,-37.6
957,-37.25
958,-36.8
959,-36.35
960,-37.55
961,-37.65
962,-37.9
963,-37.95
964,-37.3
965,-37.3
966,-38.0
967,-38.65
968,-38.75
969,-39.1
970,-38.65
971,-39.0
972,-39.65
973,-39.8
974,-39.3
975,-40.1
976,-39.25
977,-38.75
978,-38.15
979,-37.9
980,-37.9
981,-38.3
982,-38.65
983,-38.25
984,-39.15
985,-39.7
986,-39.15
987,-38.85
988,-37.95
989,-38.2
990,-38.15
991,-37.7
992,-39.1
993,-39.25
994,-38.75
995,-38.05
996,-37.65
997,-37.9
998,-37.75
999,-38.4
1000,-39.05
1001,-39.25
1002,-38.95
1003,-37.4
1004,-37.85
1005,-37.9
1006,-37.65
1007,-38.1
1008,-38.1
1009,-37.9
1010,-37.65
1011,-38.8
1012,-40.45
1013,-40.85
1014,-40.6
1015,-39.7
1016,-39.25
1017,-40.45
1018,-41.2
1019,-41.0
1020,-41.05
1021,-40.3
1022,-40.0
1023,-39.9
1024,-40.35
1025,-41.05
1026,-40.4
1027,-40.3
1028,-39.5
1029,-39.55
1030,-40.7
1031,-41.9
1032,-41.65
1033,-40.85
1034,-40.6
1035,-39.95
1036,-40.65
1037,-40.2
1038,-41.2
1039,-41.5
1040,-41.9
1041,-40.9
1042,-40.45
1043,-40.5
1044,-39.5
1045,-38.5
1046,-38.0
1047,-38.0
1048,-39.05
1049,-40.2
1050,-39.6
1051,-38.35
1052,-37.45
1053,-36.65
1054,-36.8
1055,-37.65
1056,-37.7
1057,-38.2
1058,-37.8
1059,-36.3
1060,-36.25
1061,-36.65
1062,-37.3
1063,-37.55
1064,-36.8
1065,-36.75
1066,-36.8
1067,-36.95
1068,-36.6
1069,-36.65
1070,-37.6
1071,-37.5
1072,-36.6
1073,-36.5
1074,-37.5
1075,-38.25
1076,-38.4
1077,-39.05
1078,-38.8
1079,-38.95
1080,-38.35
1081,-38.45
1082,-39.35
1083,-39.05
1084,-38.7
1085,-38.45
1086,-39.55
1087,-40.85
1088,-41.05
1089,-40.15
1090,-39.5
1091,-39.9
1092,-39.85
1093,-38.75
1094,-38.9
1095,-39.2
1096,-41.1
1097,-42.45
1098,-42.05
1099,-41.65
1100,-41.05
1101,-40.45
1102,-40.2
1103,-40.6
1104,-41.25
1105,-41.4
1106,-41.5
1107,-41.55
1108,-40.55
