,Data
503,64.1
504,70.55
505,76.35
506,84.2
507,84.6
508,84.7
509,90.65
510,94.1
511,94.15
512,91.15
513,84.25
514,90.35
515,76.95
516,82.2
517,86.3
518,105.35
519,105.85
520,94.4
521,99.25
522,87.65
523,77.1
524,78.9
525,92.05
526,108.2
527,114.8
528,115.95
529,106.2
530,110.45
531,113.2
532,100.8
533,108.2
534,108.45
535,109.3
536,104.65
537,102.5
538,112.05
539,120.85
540,114.85
541,119.05
542,111.8
543,115.85
544,103.1
545,106.3
546,107.6
547,117.15
548,109.65
549,123.55
550,111.0
551,109.9
552,110.3
553,112.3
554,105.35
555,115.0
556,113.45
557,112.1
558,120.2
559,113.1
560,111.85
561,120.7
562,108.75
563,106.45
564,119.3
565,112.5
566,108.8
567,126.5
568,114.9
569,113.7
570,104.6
571,92.5
572,102.45
573,100.75
574,88.1
575,92.0
576,98.4
577,90.3
578,80.25
579,85.65
580,81.05
581,75.85
582,69.7
583,84.35
584,101.7
585,107.5
586,103.55
587,101.35
588,99.15
589,86.8
590,80.7
591,82.25
592,81.7
593,92.85
594,77.4
595,81.3
596,72.35
597,71.6
598,81.6
599,84.1
600,73.7
601,70.25
602,86.05
603,73.3
604,84.15
605,75.45
606,63.35
607,84.6
608,79.1
609,75.0
610,69.9
611,81.75
612,67.45
613,78.15
614,86.4
615,65.4
616,61.85
617,68.4
618,68.65
619,69.65
620,62.95
621,67.05
622,65.2
623,80.35
624,66.1
625,66.35
626,70.5
627,62.35
628,66.15
629,64.75
630,72.3
631,69.0
632,58.6
633,58.9
634,52.55
635,61.2
636,67.2
637,71.65
638,71.6
639,52.3
640,71.35
641,69.4
642,53.5
643,55.4
644,63.45
645,73.7
646,77.9
647,72.7
648,62.55
649,84.0
650,73.95
651,66.7
652,60.35
653,60.95
654,61.6
655,77.65
656,89.8
657,75.6
658,60.6
659,72.0
660,63.45
661,68.95
662,63.85
663,64.85
664,60.35
665,60.15
666,68.55
667,60.45
668,78.45
669,91.35
670,77.7
671,65.3
672,64.7
673,67.05
674,66.75
675,77.85
676,60.5
677,53.65
678,61.55
679,62.45
680,71.95
681,66.75
682,61.25
683,59.9
684,77.55
685,79.7
686,72.35
687,89.15
688,82.8
689,76.45
690,68.15
691,65.95
692,74.75
693,70.2
694,79.6
695,91.75
696,92.75
697,90.9
698,84.9
699,70.0
700,70.1
701,69.2
702,66.5
703,81.7
704,85.3
705,71.25
706,75.2
707,63.55
708,81.75
709,70.1
710,84.0
711,83.5
712,77.3
713,80.0
714,78.1
715,82.4
716,70.15
717,75.3
718,78.1
719,80.85
720,95.35
721,87.2
722,84.15
723,87.55
724,95.45
725,94.95
726,89.0
727,84.4
728,83.95
729,85.35
730,90.5
731,77.5
732,91.45
733,97.85
734,103.2
735,82.05
736,92.9
737,91.7
738,89.8
739,87.3
740,77.55
741,78.95
742,88.55
743,96.8
744,75.2
745,95.85
746,89.35
747,61.65
748,79.75
749,94.4
750,88.0
751,100.3
752,104.2
753,117.5
754,100.1
755,97.65
756,102.4
757,102.2
758,105.0
759,97.95
760,91.1
761,85.05
762,87.35
763,91.75
764,70.15
765,85.35
766,88.1
767,84.55
768,100.05
769,94.7
770,86.25
771,83.05
772,88.25
773,73.3
774,78.6
775,92.35
776,92.4
777,86.85
778,77.2
779,67.0
780,70.3
781,76.8
782,86.85
783,90.85
784,88.95
785,93.05
786,87.7
787,84.35
788,84.8
789,87.65
790,79.8
791,87.85
792,81.45
793,78.95
794,81.5
795,83.85
796,80.35
797,89.75
798,89.8
799,75.75
800,88.25
801,79.45
